
 --- Table  1: Summary of nuclide data: 

 Data for 282 nuclides included in calculation:

 - 282 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 8094 reaction channels
 - 3441 special reactions
 - No transmutation reactions
 - 79 transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - All reaction linked to target

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data

  145   0  54130.09c     09c  TRA   54 130 0  129.90394   908.0          N/A  I-----T-I-----------  xenon 130 (Xe-130)
  146   0  54131.09c     09c  TRA   54 131 0  130.90555   908.0          N/A  I-----T-------------  xenon 131 (Xe-131)
  147   0  54132.09c     09c  TRA   54 132 0  131.90312   908.0          N/A  I-----T-I-----------  xenon 132 (Xe-132)
  148   0  54133.09c     09c  TRA   54 133 0  132.90574   908.0          N/A  I-----T-I-----------  xenon 133 (Xe-133)
  149   0  54134.09c     09c  TRA   54 134 0  133.91036   908.0          N/A  I-----T-I-----------  xenon 134 (Xe-134)
  150   0  54135.09c     09c  TRA   54 135 0  134.90692   908.0          N/A  I-----T-------------  xenon 135 (Xe-135)
  151   0  54136.09c     09c  TRA   54 136 0  135.90752   908.0          N/A  I-----T-------------  xenon 136 (Xe-136)
  152   0  55133.09c     09c  TRA   55 133 0  132.90574   908.0          N/A  I-----T-I-----------  cesium 133 (Cs-133)
  153   0  55134.09c     09c  TRA   55 134 0  133.90734   908.0          N/A  I-----T-I-----------  cesium 134 (Cs-134)
  154   0  55135.09c     09c  TRA   55 135 0  134.90591   908.0          N/A  I-----T-I-----------  cesium 135 (Cs-135)
  155   0  55136.09c     09c  TRA   55 136 0  135.90651   908.0          N/A  I-----T-------------  cesium 136 (Cs-136)
  156   0  55137.09c     09c  TRA   55 137 0  136.90711   908.0          N/A  I-----T-I-----------  cesium 137 (Cs-137)
  157   0  56132.09c     09c  TRA   56 132 0  131.90514   908.0          N/A  I-----T-I-----------  barium 132 (Ba-132)
  158   0  56133.09c     09c  TRA   56 133 0  132.90574   908.0          N/A  I-----T-------------  barium 133 (Ba-133)
  159   0  56134.09c     09c  TRA   56 134 0  133.90431   908.0          N/A  I-----T-I-----------  barium 134 (Ba-134)
  160   0  56135.09c     09c  TRA   56 135 0  134.90591   908.0          N/A  I-----T-I-----------  barium 135 (Ba-135)
  161   0  56136.09c     09c  TRA   56 136 0  135.90449   908.0          N/A  I-----T-I-----------  barium 136 (Ba-136)
  162   0  56137.09c     09c  TRA   56 137 0  136.90609   908.0          N/A  I-----T-------------  barium 137 (Ba-137)
  163   0  56138.09c     09c  TRA   56 138 0  137.90467   908.0          N/A  I-----T-------------  barium 138 (Ba-138)
  164   0  56140.09c     09c  TRA   56 140 0  139.90989   908.0          N/A  I-----T-------------  barium 140 (Ba-140)
  165   0  57138.09c     09c  TRA   57 138 0  137.90669   908.0          N/A  I-----T-------------  lanthanum 138 (La-138)
  166   0  57139.09c     09c  TRA   57 139 0  138.90326   908.0          N/A  I-----T-------------  lanthanum 139 (La-139)
  167   0  57140.09c     09c  TRA   57 140 0  139.90989   908.0          N/A  I-----T-------------  lanthanum 140 (La-140)
  168   0  58138.09c     09c  TRA   58 138 0  137.90568   908.0          N/A  I-----T-I-----------  cerium 138 (Ce-138)
  169   0  58139.09c     09c  TRA   58 139 0  138.90628   908.0          N/A  I-----T-------------  cerium 139 (Ce-139)
  170   0  58140.09c     09c  TRA   58 140 0  139.90586   908.0          N/A  I-----T-------------  cerium 140 (Ce-140)
  171   0  58141.09c     09c  TRA   58 141 0  140.91049   908.0          N/A  I-----T-------------  cerium 141 (Ce-141)
  172   0  58142.09c     09c  TRA   58 142 0  141.90908   908.0          N/A  I-----T-------------  cerium 142 (Ce-142)
  173   0  58143.09c     09c  TRA   58 143 0  142.91269   908.0          N/A  I-----T-------------  cerium 143 (Ce-143)
  174   0  58144.09c     09c  TRA   58 144 0  143.91429   908.0          N/A  I-----T-------------  cerium 144 (Ce-144)
